Store,Day,Month,Year,Weekly_Sales,Holiday_Flag,Temperature_(C),Fuel_Price,CPI,Unemployment
1,5,2,2010,"$1,643,690.90 ",0,5.73,$2.57 ,211.1,8.11
1,12,2,2010,"$1,641,957.44 ",1,3.62,$2.55 ,211.24,8.11
1,19,2,2010,"$1,611,968.17 ",0,4.41,$2.51 ,211.29,8.11
1,26,2,2010,"$1,409,727.59 ",0,8.13,$2.56 ,211.32,8.11
1,5,3,2010,"$1,554,806.68 ",0,8.06,$2.63 ,211.35,8.11
1,12,3,2010,"$1,439,541.59 ",0,14.33,$2.67 ,211.38,8.11
1,19,3,2010,"$1,472,515.79 ",0,12.54,$2.72 ,211.22,8.11
1,26,3,2010,"$1,404,429.92 ",0,10.81,$2.73 ,211.02,8.11
1,2,4,2010,"$1,594,968.28 ",0,16.82,$2.72 ,210.82,7.81
1,9,4,2010,"$1,545,418.53 ",0,18.81,$2.77 ,210.62,7.81
1,16,4,2010,"$1,466,058.28 ",0,19.07,$2.81 ,210.49,7.81
1,23,4,2010,"$1,391,256.12 ",0,18.24,$2.80 ,210.44,7.81
1,30,4,2010,"$1,425,100.71 ",0,19.67,$2.78 ,210.39,7.81
1,7,5,2010,"$1,603,955.12 ",0,22.53,$2.84 ,210.34,7.81
1,14,5,2010,"$1,494,251.50 ",0,23.77,$2.85 ,210.34,7.81
1,21,5,2010,"$1,399,662.07 ",0,24.69,$2.83 ,210.62,7.81
1,28,5,2010,"$1,432,069.95 ",0,26.91,$2.76 ,210.9,7.81
1,4,6,2010,"$1,615,524.71 ",0,27.05,$2.71 ,211.18,7.81
1,11,6,2010,"$1,542,561.09 ",0,26.91,$2.67 ,211.46,7.81
1,18,6,2010,"$1,503,284.06 ",0,28.95,$2.64 ,211.45,7.81
1,25,6,2010,"$1,422,711.60 ",0,29.08,$2.65 ,211.34,7.81
1,2,7,2010,"$1,492,418.14 ",0,27.17,$2.67 ,211.22,7.79
1,9,7,2010,"$1,546,074.18 ",0,26.93,$2.64 ,211.11,7.79
1,16,7,2010,"$1,448,938.92 ",0,28.42,$2.62 ,211.1,7.79
1,23,7,2010,"$1,385,065.20 ",0,28.53,$2.61 ,211.24,7.79
1,30,7,2010,"$1,371,986.60 ",0,27.69,$2.64 ,211.37,7.79
1,6,8,2010,"$1,605,491.78 ",0,30.64,$2.63 ,211.5,7.79
1,13,8,2010,"$1,508,237.76 ",0,30.56,$2.69 ,211.64,7.79
1,20,8,2010,"$1,513,080.49 ",0,30.36,$2.66 ,211.6,7.79
1,27,8,2010,"$1,449,142.92 ",0,29.57,$2.62 ,211.57,7.79
1,3,9,2010,"$1,540,163.53 ",0,27.34,$2.58 ,211.53,7.79
1,10,9,2010,"$1,507,460.69 ",1,25.94,$2.57 ,211.5,7.79
1,17,9,2010,"$1,430,378.67 ",0,27.84,$2.58 ,211.52,7.79
1,24,9,2010,"$1,351,791.03 ",0,27.19,$2.62 ,211.6,7.79
1,1,10,2010,"$1,453,329.50 ",0,22.16,$2.60 ,211.67,7.84
1,8,10,2010,"$1,508,239.93 ",0,17.74,$2.63 ,211.75,7.84
1,15,10,2010,"$1,459,409.10 ",0,19.54,$2.72 ,211.81,7.84
1,22,10,2010,"$1,345,454.00 ",0,21.03,$2.73 ,211.86,7.84
1,29,10,2010,"$1,384,209.22 ",0,20.91,$2.72 ,211.91,7.84
1,5,11,2010,"$1,551,659.28 ",0,14.86,$2.69 ,211.96,7.84
1,12,11,2010,"$1,494,479.49 ",0,15.34,$2.73 ,212,7.84
1,19,11,2010,"$1,483,784.18 ",0,10.78,$2.77 ,211.89,7.84
1,26,11,2010,"$1,955,624.11 ",1,18.07,$2.74 ,211.75,7.84
1,3,12,2010,"$1,548,033.78 ",0,9.59,$2.71 ,211.61,7.84
1,10,12,2010,"$1,682,614.26 ",0,7.96,$2.84 ,211.47,7.84
1,17,12,2010,"$1,891,034.93 ",0,9.91,$2.87 ,211.41,7.84
1,24,12,2010,"$2,387,950.20 ",0,11.29,$2.89 ,211.41,7.84
1,31,12,2010,"$1,367,320.01 ",1,9.13,$2.94 ,211.4,7.84
1,7,1,2011,"$1,444,732.28 ",0,9.04,$2.98 ,211.4,7.74
1,14,1,2011,"$1,391,013.96 ",0,1.89,$2.98 ,211.46,7.74
1,21,1,2011,"$1,327,405.42 ",0,6.69,$3.02 ,211.83,7.74
1,28,1,2011,"$1,316,899.31 ",0,6.57,$3.01 ,212.2,7.74
1,4,2,2011,"$1,606,629.58 ",0,5.71,$2.99 ,212.57,7.74
1,11,2,2011,"$1,649,614.93 ",1,2.44,$3.02 ,212.94,7.74
1,18,2,2011,"$1,686,842.78 ",0,14.09,$3.05 ,213.25,7.74
1,25,2,2011,"$1,456,800.28 ",0,17.17,$3.07 ,213.54,7.74
1,4,3,2011,"$1,636,263.41 ",0,15.32,$3.29 ,213.82,7.74
1,11,3,2011,"$1,553,191.63 ",0,11.98,$3.46 ,214.11,7.74
1,18,3,2011,"$1,576,818.06 ",0,17.09,$3.49 ,214.36,7.74
1,25,3,2011,"$1,541,102.38 ",0,21.09,$3.47 ,214.6,7.74
1,1,4,2011,"$1,495,064.75 ",0,15.09,$3.52 ,214.84,7.68
